location,year,month,day,hour,minutes,seconds,temperature(C)
studyroom,2017,8,20,7,49,30,20.06
studyroom,2017,8,20,7,50,31,20.06
studyroom,2017,8,20,7,51,32,20.06
studyroom,2017,8,20,7,52,33,20.06
studyroom,2017,8,20,7,53,34,20.06
studyroom,2017,8,20,7,54,35,20.13
studyroom,2017,8,20,7,55,36,20.13
studyroom,2017,8,20,7,56,37,20.13
studyroom,2017,8,20,7,57,38,20.13
studyroom,2017,8,20,7,58,39,20.13
studyroom,2017,8,20,7,59,40,20.13
studyroom,2017,8,20,8,0,41,20.06
studyroom,2017,8,20,8,1,42,20.13
studyroom,2017,8,20,8,2,43,20.13
studyroom,2017,8,20,8,3,44,20.13
studyroom,2017,8,20,8,4,45,20.19
studyroom,2017,8,20,8,5,46,20.19
studyroom,2017,8,20,8,6,47,20.19
studyroom,2017,8,20,8,7,48,20.19
studyroom,2017,8,20,8,8,49,20.19
studyroom,2017,8,20,8,9,50,20.19
studyroom,2017,8,20,8,10,52,20.19
studyroom,2017,8,20,8,11,53,20.19
studyroom,2017,8,20,8,12,54,20.19
studyroom,2017,8,20,8,13,55,20.19
studyroom,2017,8,20,8,14,56,20.13
studyroom,2017,8,20,8,15,57,20.13
studyroom,2017,8,20,8,16,58,20.13
studyroom,2017,8,20,8,17,59,20.13
studyroom,2017,8,20,8,19,0,20.13
studyroom,2017,8,20,8,20,1,20.13
studyroom,2017,8,20,8,21,2,20.19
studyroom,2017,8,20,8,22,3,20.19
studyroom,2017,8,20,8,23,4,20.19
studyroom,2017,8,20,8,24,5,20.19
studyroom,2017,8,20,8,25,6,20.19
studyroom,2017,8,20,8,26,7,20.19
studyroom,2017,8,20,8,27,8,20.19
studyroom,2017,8,20,8,28,9,20.19
studyroom,2017,8,20,8,29,10,20.19
studyroom,2017,8,20,8,30,11,20.19
studyroom,2017,8,20,8,31,12,20.19
studyroom,2017,8,20,8,32,13,20.25
studyroom,2017,8,20,8,33,14,20.25
studyroom,2017,8,20,8,34,15,20.31
studyroom,2017,8,20,8,35,17,20.31
studyroom,2017,8,20,8,36,18,20.25
studyroom,2017,8,20,8,37,19,20.25
studyroom,2017,8,20,8,38,20,20.31
studyroom,2017,8,20,8,39,20,20.31
studyroom,2017,8,20,8,40,21,20.31
studyroom,2017,8,20,8,41,22,20.31
studyroom,2017,8,20,8,42,23,20.38
studyroom,2017,8,20,8,43,24,20.31
studyroom,2017,8,20,8,44,25,20.31
studyroom,2017,8,20,8,45,26,20.31
studyroom,2017,8,20,8,46,27,20.31
studyroom,2017,8,20,8,47,28,20.31
studyroom,2017,8,20,8,48,29,20.31
studyroom,2017,8,20,8,49,30,20.31
studyroom,2017,8,20,8,50,31,20.38
studyroom,2017,8,20,8,51,32,20.31
studyroom,2017,8,20,8,52,34,20.31
studyroom,2017,8,20,8,53,35,20.31
studyroom,2017,8,20,8,54,36,20.31
studyroom,2017,8,20,8,55,37,20.31
studyroom,2017,8,20,8,56,38,20.31
studyroom,2017,8,20,8,57,39,20.31
studyroom,2017,8,20,8,58,40,20.31
studyroom,2017,8,20,8,59,41,20.31
studyroom,2017,8,20,9,0,42,20.31
studyroom,2017,8,20,9,1,43,20.31
studyroom,2017,8,20,9,2,44,20.31
studyroom,2017,8,20,9,3,45,20.31
studyroom,2017,8,20,9,4,46,20.31
studyroom,2017,8,20,9,5,47,20.31
studyroom,2017,8,20,9,6,48,20.31
studyroom,2017,8,20,9,7,49,20.31
studyroom,2017,8,20,9,8,50,20.31
studyroom,2017,8,20,9,9,51,20.31
studyroom,2017,8,20,9,10,52,20.31
studyroom,2017,8,20,9,11,53,20.38
studyroom,2017,8,20,9,12,54,20.38
studyroom,2017,8,20,9,13,55,20.38
studyroom,2017,8,20,9,14,56,20.38
studyroom,2017,8,20,9,15,57,20.38
studyroom,2017,8,20,9,16,58,20.38
studyroom,2017,8,20,9,17,59,20.44
studyroom,2017,8,20,9,19,0,20.44
studyroom,2017,8,20,9,20,1,20.38
studyroom,2017,8,20,9,21,2,20.31
